name,FINISHED,axes.mach.l.p[X],axes.mach.l.p[Y],axes.mach.l.v[X],axes.mach.l.v[Y],axes.mach.f.p[X],axes.mach.f.p[Y],axes.mach.f.v[X],axes.mach.f.v[Y]
units,sec,mm,mm,mm/min,mm/min,mm,mm,mm/min,mm/min
148,   0.484000,   -1074.868083,   -1265.604615,      79.563854,       0.000000,   -1075.717688,   -1265.604615,       0.000000,       0.000000
149,   0.485000,   -1074.866891,   -1265.604615,      59.404350,       0.000000,   -1075.672865,   -1265.604615,       0.000000,       0.000000
150,   0.486000,   -1074.866056,   -1265.604615,      42.184847,       0.000000,   -1075.629473,   -1265.604615,       0.000000,       0.000000
151,   0.487000,   -1074.865460,   -1265.604615,      27.905341,       0.000000,   -1075.587273,   -1265.604615,       0.000000,       0.000000
152,   0.488000,   -1074.865103,   -1265.604615,      16.565836,       0.000000,   -1075.546503,   -1265.604615,       0.000000,       0.000000
153,   0.489000,   -1074.864864,   -1265.604615,       8.166332,       0.000000,   -1075.506926,   -1265.604615,       0.000000,       0.000000
154,   0.490000,   -1074.864864,   -1265.604615,       2.706828,       0.000000,   -1075.468898,   -1265.604615,       0.000000,       0.000000
155,   0.491000,   -1074.864745,   -1265.604615,       0.187323,       0.000000,   -1075.432062,   -1265.604615,       0.000000,       0.000000
156,   0.492000,   -1074.864745,   -1265.604615,       0.000000,       0.000000,   -1075.396776,   -1265.604615,       0.000000,       0.000000
157,   0.493000,   -1074.864745,   -1265.604615,       0.000000,       0.000000,   -1075.362921,   -1265.604615,       0.000000,       0.000000
158,   0.494000,   -1074.864745,   -1265.604615,       0.000000,       0.000000,   -1075.330257,   -1265.604615,       0.000000,       0.000000
159,   0.495000,   -1074.864745,   -1265.604615,       0.000000,       0.000000,   -1075.299025,   -1265.604615,       0.000000,       0.000000
160,   0.496000,   -1074.864745,   -1265.604615,      -0.000002,      -1.299000,   -1075.269103,   -1265.604615,       0.000000,       0.000000
161,   0.497000,   -1074.864745,   -1265.604615,      -0.000059,      -5.196000,   -1075.240850,   -1265.604615,       0.000000,       0.000000
162,   0.498000,   -1074.864745,   -1265.604734,      -0.000453,     -11.691000,   -1075.213790,   -1265.604615,       0.000000,       0.000000
163,   0.499000,   -1074.864745,   -1265.605092,      -0.001916,     -20.783999,   -1075.188160,   -1265.604615,       0.000000,       0.000000
164,   0.500000,   -1074.864745,   -1265.605450,      -0.005852,     -32.474999,   -1075.163603,   -1265.604615,       0.000000,       0.000000
165,   0.501000,   -1074.864745,   -1265.606165,      -0.014569,     -46.763996,   -1075.140715,   -1265.604615,       0.000000,       0.000000
