name,FINISHED,axes.mach.l.p[X],axes.mach.l.p[Y],axes.mach.l.p[C],axes.mach.f.p[X],axes.mach.f.p[Y],axes.mach.f.p[C]
units,sec,mm,mm,deg,mm,mm,deg
5687,   8.016000,     727.728188,    1266.671419,      79.519753,     759.234071,    1263.650656,      87.208477
5688,   8.017000,     726.917863,    1266.801476,      79.319752,     758.413017,    1263.687134,      87.008632
5689,   8.018000,     726.107955,    1266.934037,      79.119757,     757.592678,    1263.726234,      86.808877
5690,   8.019000,     725.298584,    1267.068863,      78.919755,     756.771326,    1263.767958,      86.609066
5691,   8.020000,     724.489629,    1267.206192,      78.719754,     755.951464,    1263.812065,      86.409092
5692,   8.021000,     723.681211,    1267.346025,      78.519752,     755.130410,    1263.858914,      86.209254
5693,   8.022000,     722.873271,    1267.488122,      78.319757,     754.309833,    1263.908386,      86.009280
5694,   8.023000,     722.065806,    1267.632723,      78.119756,     753.489196,    1263.960600,      85.809203
5695,   8.024000,     721.258819,    1267.779708,      77.919754,     752.669454,    1264.014959,      85.609161
5696,   8.025000,     720.452428,    1267.929077,      77.719753,     751.850545,    1264.071465,      85.409050
5697,   8.026000,     719.646513,    1268.080831,      77.519758,     751.031220,    1264.130354,      85.208912
5698,   8.027000,     718.841136,    1268.234968,      77.319756,     750.212073,    1264.191508,      85.008569
5699,   8.028000,     718.036294,    1268.391490,      77.119755,     749.392927,    1264.255047,      84.808451
5700,   8.029000,     717.231989,    1268.550515,      76.919753,     748.574674,    1264.320970,      84.608251
5701,   8.030000,     716.428280,    1268.711925,      76.719758,     747.756362,    1264.389277,      84.408188
5702,   8.031000,     715.625107,    1268.875599,      76.519757,     746.937692,    1264.460087,      84.208125
5703,   8.032000,     714.822531,    1269.041777,      76.319755,     746.119201,    1264.533281,      84.008082
5704,   8.033000,     714.020550,    1269.210339,      76.119754,     745.301366,    1264.608979,      83.808306
5705,   8.034000,     713.219106,    1269.381285,      75.919752,     744.483411,    1264.687061,      83.608448
5706,   8.035000,     712.418318,    1269.554615,      75.719757,     743.666112,    1264.767528,      83.408740
5707,   8.036000,     711.618125,    1269.730330,      75.519756,     742.848337,    1264.850378,      83.208889
5708,   8.037000,     710.818529,    1269.908309,      75.319754,     742.030978,    1264.935732,      83.008997
5709,   8.038000,     710.019529,    1270.088792,      75.119752,     741.214871,    1265.023589,      82.809227
5710,   8.039000,     709.221244,    1270.271659,      74.919758,     740.399480,    1265.113950,      82.609308
5711,   8.040000,     708.423555,    1270.456910,      74.719756,     739.584744,    1265.206695,      82.409367
5712,   8.041000,     707.626462,    1270.644426,      74.519754,     738.768518,    1265.301943,      82.209209
5713,   8.042000,     706.830084,    1270.834327,      74.319753,     737.952530,    1265.399694,      82.009207
5714,   8.043000,     706.034362,    1271.026731,      74.119758,     737.136424,    1265.499592,      81.808768
5715,   8.044000,     705.239356,    1271.221399,      73.919756,     736.322641,    1265.601754,      81.608644
5716,   8.045000,     704.445004,    1271.418452,      73.719755,     735.509336,    1265.706301,      81.408198
5717,   8.046000,     703.651309,    1271.617889,      73.519753,     734.695911,    1265.813470,      81.208060
5718,   8.047000,     702.858329,    1271.819592,      73.319758,     733.881831,    1265.923142,      81.007956
5719,   8.048000,     702.066064,    1272.023678,      73.119757,     733.068109,    1266.035080,      80.807879
5720,   8.049000,     701.274514,    1272.230148,      72.919755,     732.254982,    1266.149402,      80.608103
5721,   8.050000,     700.483680,    1272.439003,      72.719754,     731.443107,    1266.266227,      80.408136
5722,   8.051000,     699.693620,    1272.650242,      72.519752,     730.632365,    1266.385555,      80.208346
5723,   8.052000,     698.904276,    1272.863746,      72.319757,     729.821861,    1266.507268,      80.008645
5724,   8.053000,     698.115647,    1273.079515,      72.119756,     729.010940,    1266.631603,      79.808868
5725,   8.054000,     697.327793,    1273.297787,      71.919754,     728.200197,    1266.758442,      79.609290
5726,   8.055000,     696.540713,    1273.518324,      71.719753,     727.389991,    1266.887426,      79.409480
5727,   8.056000,     695.754409,    1273.741126,      71.519758,     726.579964,    1267.018676,      79.209554
